@relation trainingDataset

@attribute mor0 numeric
@attribute mor1 numeric
@attribute mor2 numeric
@attribute mor3 numeric
@attribute mor4 numeric
@attribute mor5 numeric
@attribute class {c0,c1,c2,c3,c4,c5,c6,c7,c8,c9}

@data
1,0,0,126.724861,1.302745,1609.334822,c0
1,0,0,129.478861,1.270878,1695.055281,c0
1,0,0,131.058861,1.310403,2027.211367,c0
1,0,0,129.346861,1.305646,1547.263727,c0
1,0,0,132.628861,1.374434,1884.680458,c0
1,0,0,129.346861,1.210899,1635.044099,c0
1,0,0,130.810861,1.248912,1627.671359,c0
1,0,0,128.618861,1.225879,1517.039218,c0
1,0,0,135.846861,1.366889,1640.186583,c0
1,0,0,134.324861,1.301996,1785.058233,c0
1,0,0,128.800861,1.242598,1519.847054,c0
1,0,0,129.288861,1.255408,1590.042076,c0
1,0,0,131.322861,1.262507,1662.386954,c0
1,0,0,134.506861,1.362977,1745.600125,c0
1,0,0,134.820861,1.249143,1623.20697,c0
1,0,0,128.469861,1.304331,1668.804985,c0
1,0,0,123.268861,1.175559,1647.619186,c0
1,0,0,133.034861,1.250948,1718.367277,c0
1,0,0,133.232861,1.369648,1747.263857,c0
1,0,0,123.887861,1.288205,1664.23941,c0
1,0,0,122.448861,1.21294,1618.527005,c0
1,0,0,132.976861,1.302848,1628.679826,c0
1,0,0,136.226861,1.329887,1877.636421,c0
1,0,0,134.249861,1.285432,1949.581306,c0
1,0,0,130.578861,1.268686,1596.788072,c0
1,0,0,134.804861,1.292236,1619.933005,c0
1,0,0,128.122861,1.238959,1508.249286,c0
1,0,0,131.198861,1.287761,1697.677432,c0
1,0,0,133.282861,1.291134,1777.046545,c0
1,0,0,126.774861,1.342144,1730.012685,c0
1,0,0,129.552861,1.320467,1764.701054,c0
1,0,0,132.794861,1.300281,1549.259053,c0
1,0,0,136.822861,1.269062,1799.855201,c0
1,0,0,135.300861,1.306836,1690.068384,c0
1,0,0,135.862861,1.340864,1733.270959,c0
1,0,0,130.140861,1.293127,1601.576424,c0
1,0,0,128.924861,1.201011,1605.448565,c0
1,0,0,129.676861,1.273593,1830.097057,c0
1,0,0,126.998861,1.26663,1542.462627,c0
1,0,0,123.945861,1.239283,1634.678494,c0
1,0,0,128.973861,1.311147,1752.911256,c0
1,0,0,132.215861,1.26305,1757.956207,c0
1,0,0,127.460861,1.292413,1608.963832,c0
1,0,0,126.278861,1.210506,1514.355177,c0
1,0,0,130.660861,1.359555,1859.826849,c0
1,0,0,130.636861,1.216297,1601.070959,c0
1,0,0,136.648861,1.27366,1712.383206,c0
1,0,0,133.298861,1.354236,1880.481171,c0
1,0,0,128.419861,1.334423,1634.099606,c0
1,0,0,131.372861,1.358671,1638.356526,c0
1,0,0,134.235861,1.360231,2267.902684,c0
1,0,0,134.746861,1.322585,1753.236205,c0
1,0,0,134.390861,1.279433,1651.891693,c0
1,0,0,121.986861,1.303442,2022.701798,c0
1,0,0,126.882861,1.22769,1707.518308,c0
1,0,0,136.598861,1.327176,1711.670697,c0
1,0,0,131.794861,1.22375,1713.431751,c0
1,0,0,129.329861,1.306311,1847.247259,c0
1,0,0,130.280861,1.298552,1705.019387,c0
1,0,0,128.304861,1.245116,1543.955581,c0
1,0,0,134.490861,1.295977,1728.132575,c0
1,0,0,135.060861,1.252043,1652.290596,c0
1,0,0,132.596861,1.374103,1632.047281,c0
1,0,0,128.742861,1.292125,1698.454401,c0
1,0,0,136.912861,1.412175,2092.472544,c0
1,0,0,139.666861,1.463253,2154.437406,c0
1,0,0,127.956861,1.289142,1586.722364,c0
0,2,0,231.276861,2.38708,15215.964412,c0
1,0,0,124.020861,1.221007,1454.976293,c0
1,0,0,132.538861,1.274197,1658.776947,c0
1,0,0,130.519861,1.368366,1861.505678,c0
1,0,0,131.934861,1.356304,1623.238035,c0
1,0,0,136.640861,1.302338,1759.938914,c0
1,0,0,131.620861,1.278052,1881.470567,c0
1,0,0,127.882861,1.327942,1631.551109,c0
1,0,0,133.382861,1.272739,1567.084426,c0
1,0,0,129.850861,1.299141,1551.035202,c0
1,0,0,126.882861,1.226248,1606.8253,c0
1,0,0,127.146861,1.21953,1521.022814,c0
1,0,0,131.066861,1.246369,1795.985887,c0
1,0,0,132.472861,1.327882,1731.645587,c0
1,0,0,137.880861,1.361614,1769.867,c0
1,0,0,135.978861,1.303489,1853.991544,c0
1,0,0,126.186861,1.208926,1580.812573,c0
1,0,0,129.362861,1.217773,1597.345025,c0
1,0,0,136.086861,1.495439,1717.339068,c0
1,0,0,144.016861,1.343802,2256.65348,c0
1,0,0,130.512861,1.34887,1608.475743,c0
1,0,0,128.146861,1.212417,1726.835761,c0
1,0,0,135.043861,1.387344,1924.81049,c0
1,0,0,128.354861,1.200291,1496.383412,c0
1,0,0,132.414861,1.31166,1836.507388,c0
1,0,0,131.620861,1.253776,1853.712744,c0
1,0,0,128.502861,1.338924,1715.132468,c0
